Period,"February 5, 2021 10:00 AM -> April 22, 2025 11:00 AM"
,
Time,CABR Lot 1 Counter
9/27/2021 0:00,140
9/28/2021 0:00,277
9/29/2021 0:00,494
9/30/2021 0:00,409
10/1/2021 0:00,400
10/2/2021 0:00,791
10/3/2021 0:00,764
10/4/2021 0:00,364
10/5/2021 0:00,1133
10/6/2021 0:00,222
10/7/2021 0:00,504
10/8/2021 0:00,526
10/9/2021 0:00,1038
10/10/2021 0:00,1049
10/11/2021 0:00,500
10/12/2021 0:00,423
10/13/2021 0:00,456
10/14/2021 0:00,558
10/15/2021 0:00,598
10/16/2021 0:00,942
10/17/2021 0:00,950
10/18/2021 0:00,353
10/19/2021 0:00,596
10/20/2021 0:00,509
10/21/2021 0:00,449
10/22/2021 0:00,486
10/23/2021 0:00,1050
10/24/2021 0:00,936
10/25/2021 0:00,335
10/26/2021 0:00,325
10/27/2021 0:00,351
10/28/2021 0:00,396
10/29/2021 0:00,805
10/30/2021 0:00,764
10/31/2021 0:00,1068
11/1/2021 0:00,279
11/2/2021 0:00,277
11/3/2021 0:00,235
11/4/2021 0:00,370
11/5/2021 0:00,339
11/6/2021 0:00,912
11/7/2021 0:00,929
11/8/2021 0:00,498
11/9/2021 0:00,330
11/10/2021 0:00,257
11/11/2021 0:00,1123
11/12/2021 0:00,678
11/13/2021 0:00,1401
11/14/2021 0:00,942
11/15/2021 0:00,401
11/16/2021 0:00,287
11/17/2021 0:00,490
11/18/2021 0:00,210
11/19/2021 0:00,378
11/20/2021 0:00,524
11/21/2021 0:00,881
11/22/2021 0:00,719
11/23/2021 0:00,758
11/24/2021 0:00,1039
11/25/2021 0:00,1243
11/26/2021 0:00,1338
11/27/2021 0:00,1390
11/28/2021 0:00,1067
11/29/2021 0:00,302
11/30/2021 0:00,308
12/1/2021 0:00,116
12/2/2021 0:00,222
12/3/2021 0:00,358
12/4/2021 0:00,340
12/5/2021 0:00,770
12/6/2021 0:00,239
12/7/2021 0:00,75
12/8/2021 0:00,357
12/9/2021 0:00,62
12/10/2021 0:00,287
12/11/2021 0:00,976
12/12/2021 0:00,834
12/13/2021 0:00,119
12/14/2021 0:00,3
12/15/2021 0:00,372
12/16/2021 0:00,307
12/17/2021 0:00,394
12/18/2021 0:00,958
12/19/2021 0:00,1297
12/20/2021 0:00,402
12/21/2021 0:00,331
12/22/2021 0:00,344
12/23/2021 0:00,273
12/24/2021 0:00,870
12/25/2021 0:00,468
12/26/2021 0:00,1573
12/27/2021 0:00,1371
12/28/2021 0:00,917
12/29/2021 0:00,466
12/30/2021 0:00,1454
12/31/2021 0:00,692
1/1/2022 0:00,1646
1/2/2022 0:00,1480
1/3/2022 0:00,1133
1/4/2022 0:00,735
1/5/2022 0:00,660
1/6/2022 0:00,620
1/7/2022 0:00,548
1/8/2022 0:00,1101
1/9/2022 0:00,1416
1/10/2022 0:00,412
1/11/2022 0:00,611
1/12/2022 0:00,442
1/13/2022 0:00,393
1/14/2022 0:00,820
1/15/2022 0:00,721
1/16/2022 0:00,1188
1/17/2022 0:00,1376
1/18/2022 0:00,397
1/19/2022 0:00,463
1/20/2022 0:00,526
1/21/2022 0:00,751
1/22/2022 0:00,1433
1/23/2022 0:00,1459
1/24/2022 0:00,501
1/25/2022 0:00,457
1/26/2022 0:00,596
1/27/2022 0:00,764
1/28/2022 0:00,789
1/29/2022 0:00,1116
1/30/2022 0:00,1629
1/31/2022 0:00,573
2/1/2022 0:00,463
2/2/2022 0:00,525
2/3/2022 0:00,587
2/4/2022 0:00,695
2/5/2022 0:00,1428
2/6/2022 0:00,1373
2/7/2022 0:00,561
2/8/2022 0:00,491
2/9/2022 0:00,579
2/10/2022 0:00,564
2/11/2022 0:00,921
2/12/2022 0:00,1077
2/13/2022 0:00,1114
2/14/2022 0:00,683
2/15/2022 0:00,183
2/16/2022 0:00,604
2/17/2022 0:00,601
2/18/2022 0:00,987
2/19/2022 0:00,1410
2/20/2022 0:00,1526
2/21/2022 0:00,1005
2/22/2022 0:00,265
2/23/2022 0:00,397
2/24/2022 0:00,1005
2/25/2022 0:00,926
2/26/2022 0:00,1206
2/27/2022 0:00,1270
2/28/2022 0:00,733
3/1/2022 0:00,597
3/2/2022 0:00,550
3/3/2022 0:00,328
3/4/2022 0:00,556
3/5/2022 0:00,844
3/6/2022 0:00,1426
3/7/2022 0:00,646
3/8/2022 0:00,690
3/9/2022 0:00,674
3/10/2022 0:00,761
3/11/2022 0:00,1014
3/12/2022 0:00,1207
3/13/2022 0:00,1284
3/14/2022 0:00,789
3/15/2022 0:00,797
3/16/2022 0:00,825
3/17/2022 0:00,675
3/18/2022 0:00,899
3/19/2022 0:00,1165
3/20/2022 0:00,916
