Period,"February 5, 2021 10:00 AM -> April 22, 2025 11:00 AM"
,
Time,CABR Lot 1 Counter
12/19/2023 0:00,56
12/20/2023 0:00,79
12/21/2023 0:00,110
12/22/2023 0:00,123
12/23/2023 0:00,156
12/24/2023 0:00,212
12/25/2023 0:00,106
12/26/2023 0:00,60
12/27/2023 0:00,75
12/28/2023 0:00,137
12/29/2023 0:00,211
12/30/2023 0:00,219
12/31/2023 0:00,102
1/1/2024 0:00,244
1/2/2024 0:00,248
1/3/2024 0:00,11
1/4/2024 0:00,204
1/5/2024 0:00,281
1/6/2024 0:00,491
1/7/2024 0:00,123
1/8/2024 0:00,172
1/9/2024 0:00,283
1/10/2024 0:00,71
1/11/2024 0:00,101
1/12/2024 0:00,161
1/13/2024 0:00,293
1/14/2024 0:00,204
1/15/2024 0:00,213
1/16/2024 0:00,13
1/17/2024 0:00,35
1/18/2024 0:00,36
1/19/2024 0:00,52
1/20/2024 0:00,2
1/21/2024 0:00,27
1/22/2024 0:00,0
1/23/2024 0:00,95
1/24/2024 0:00,21
1/25/2024 0:00,174
1/26/2024 0:00,53
1/27/2024 0:00,172
1/28/2024 0:00,96
1/29/2024 0:00,58
1/30/2024 0:00,357
1/31/2024 0:00,84
2/1/2024 0:00,3
2/2/2024 0:00,50
2/3/2024 0:00,476
2/4/2024 0:00,2421
2/5/2024 0:00,0
2/6/2024 0:00,6
2/7/2024 0:00,15
2/8/2024 0:00,59
2/9/2024 0:00,48
2/10/2024 0:00,132
2/11/2024 0:00,369
2/12/2024 0:00,93
2/13/2024 0:00,308
2/14/2024 0:00,75
2/15/2024 0:00,32
2/16/2024 0:00,24
2/17/2024 0:00,15
2/18/2024 0:00,1216
2/19/2024 0:00,375
2/20/2024 0:00,0
2/21/2024 0:00,204
2/22/2024 0:00,162
2/23/2024 0:00,10
2/24/2024 0:00,6
2/25/2024 0:00,1
2/26/2024 0:00,0
2/27/2024 0:00,3156
2/28/2024 0:00,41
2/29/2024 0:00,33
3/1/2024 0:00,1529
3/2/2024 0:00,7
3/3/2024 0:00,191
3/4/2024 0:00,286
3/5/2024 0:00,721
3/6/2024 0:00,193
3/7/2024 0:00,579
3/8/2024 0:00,911
3/9/2024 0:00,104
3/10/2024 0:00,96
3/11/2024 0:00,442
3/12/2024 0:00,1053
3/13/2024 0:00,1071
3/14/2024 0:00,176
3/15/2024 0:00,3209
3/16/2024 0:00,1694
3/17/2024 0:00,929
3/18/2024 0:00,366
3/19/2024 0:00,816
3/20/2024 0:00,221
3/21/2024 0:00,875
3/22/2024 0:00,16
3/23/2024 0:00,112
3/24/2024 0:00,12
3/25/2024 0:00,752
3/26/2024 0:00,82
3/27/2024 0:00,680
3/28/2024 0:00,17
3/29/2024 0:00,2377
3/30/2024 0:00,1
3/31/2024 0:00,1350
4/1/2024 0:00,56
4/2/2024 0:00,2570
4/3/2024 0:00,275
4/4/2024 0:00,1204
4/5/2024 0:00,257
4/6/2024 0:00,3507
4/7/2024 0:00,6734
4/8/2024 0:00,900
4/9/2024 0:00,1955
4/10/2024 0:00,1950
4/11/2024 0:00,570
4/12/2024 0:00,14
4/13/2024 0:00,2960
4/14/2024 0:00,774
4/15/2024 0:00,2859
4/16/2024 0:00,490
4/17/2024 0:00,1151
4/18/2024 0:00,261
4/19/2024 0:00,3118
4/20/2024 0:00,3178
4/21/2024 0:00,145
4/22/2024 0:00,0
4/23/2024 0:00,1089
4/24/2024 0:00,4026
4/25/2024 0:00,1991
4/26/2024 0:00,1500
4/27/2024 0:00,3785
4/28/2024 0:00,3034
4/29/2024 0:00,1929
4/30/2024 0:00,219
5/1/2024 0:00,368
5/2/2024 0:00,684
5/3/2024 0:00,225
5/4/2024 0:00,4067
5/5/2024 0:00,2946
5/6/2024 0:00,6754
5/7/2024 0:00,130
5/8/2024 0:00,740
5/9/2024 0:00,230
5/10/2024 0:00,265
5/11/2024 0:00,21
5/12/2024 0:00,561
5/13/2024 0:00,311
5/14/2024 0:00,691
5/15/2024 0:00,19
5/16/2024 0:00,1094
5/17/2024 0:00,4356
5/18/2024 0:00,753
5/19/2024 0:00,2782
5/20/2024 0:00,675
5/21/2024 0:00,3659
5/22/2024 0:00,2249
5/23/2024 0:00,93
5/24/2024 0:00,2131
5/25/2024 0:00,341
5/26/2024 0:00,891
5/27/2024 0:00,498
5/28/2024 0:00,612
5/29/2024 0:00,102
5/30/2024 0:00,101
5/31/2024 0:00,981
6/1/2024 0:00,414
6/2/2024 0:00,15
6/3/2024 0:00,225
6/4/2024 0:00,141
6/5/2024 0:00,35
6/6/2024 0:00,235
6/7/2024 0:00,0
6/8/2024 0:00,12
6/9/2024 0:00,8
6/10/2024 0:00,911
6/11/2024 0:00,0
6/12/2024 0:00,1145
6/13/2024 0:00,1858
6/14/2024 0:00,1468
6/15/2024 0:00,415
6/16/2024 0:00,481
6/17/2024 0:00,435
6/18/2024 0:00,86
6/19/2024 0:00,1051
6/20/2024 0:00,1366
6/21/2024 0:00,454
6/22/2024 0:00,252
6/23/2024 0:00,138
6/24/2024 0:00,235
6/25/2024 0:00,48
6/26/2024 0:00,104
6/27/2024 0:00,16
6/28/2024 0:00,35
6/29/2024 0:00,764
6/30/2024 0:00,171
7/1/2024 0:00,8
7/2/2024 0:00,73
7/3/2024 0:00,167
7/4/2024 0:00,418
7/5/2024 0:00,61
7/6/2024 0:00,76
7/7/2024 0:00,541
7/8/2024 0:00,617
7/9/2024 0:00,34
7/10/2024 0:00,10
7/11/2024 0:00,12
7/12/2024 0:00,77
7/13/2024 0:00,166
7/14/2024 0:00,33
7/15/2024 0:00,0
7/16/2024 0:00,1
7/17/2024 0:00,0
7/18/2024 0:00,3
7/19/2024 0:00,1
7/20/2024 0:00,1
7/21/2024 0:00,0
7/22/2024 0:00,0
7/23/2024 0:00,4
7/24/2024 0:00,2
7/25/2024 0:00,92
7/26/2024 0:00,117
7/27/2024 0:00,192
7/28/2024 0:00,162
7/29/2024 0:00,123
7/30/2024 0:00,216
7/31/2024 0:00,119
8/1/2024 0:00,110
8/2/2024 0:00,57
8/3/2024 0:00,112
8/4/2024 0:00,61
8/5/2024 0:00,19
8/6/2024 0:00,91
8/7/2024 0:00,0
8/8/2024 0:00,129
8/9/2024 0:00,178
8/10/2024 0:00,12
8/11/2024 0:00,0
8/12/2024 0:00,1
8/13/2024 0:00,21
8/14/2024 0:00,122
8/15/2024 0:00,110
8/16/2024 0:00,0
8/17/2024 0:00,15
8/18/2024 0:00,122
8/19/2024 0:00,0
8/20/2024 0:00,49
8/21/2024 0:00,7
8/22/2024 0:00,512
8/23/2024 0:00,274
8/24/2024 0:00,459
8/25/2024 0:00,121
8/26/2024 0:00,56
8/27/2024 0:00,1423
8/28/2024 0:00,2408
8/29/2024 0:00,965
8/30/2024 0:00,311
8/31/2024 0:00,0
9/1/2024 0:00,1
9/2/2024 0:00,30
9/3/2024 0:00,36
9/4/2024 0:00,2
9/5/2024 0:00,33
9/6/2024 0:00,8
9/7/2024 0:00,75
9/8/2024 0:00,30
9/9/2024 0:00,0
9/10/2024 0:00,38
9/11/2024 0:00,0
9/12/2024 0:00,15
9/13/2024 0:00,28
9/14/2024 0:00,19
9/15/2024 0:00,0
9/16/2024 0:00,0
9/17/2024 0:00,36
9/18/2024 0:00,70
9/19/2024 0:00,0
9/20/2024 0:00,31
9/21/2024 0:00,13
9/22/2024 0:00,0
9/23/2024 0:00,1
9/24/2024 0:00,27
9/25/2024 0:00,0
9/26/2024 0:00,0
9/27/2024 0:00,0
9/28/2024 0:00,31
9/29/2024 0:00,20
9/30/2024 0:00,16
10/1/2024 0:00,0
10/2/2024 0:00,2
10/3/2024 0:00,4
10/4/2024 0:00,3
10/5/2024 0:00,1
10/6/2024 0:00,4
10/7/2024 0:00,0
10/8/2024 0:00,0
10/9/2024 0:00,0
10/10/2024 0:00,5
10/11/2024 0:00,2
10/12/2024 0:00,20
10/13/2024 0:00,181
10/14/2024 0:00,32
10/15/2024 0:00,2
10/16/2024 0:00,1
10/17/2024 0:00,19
10/18/2024 0:00,50
10/19/2024 0:00,55
10/20/2024 0:00,49
10/21/2024 0:00,31
10/22/2024 0:00,13
10/23/2024 0:00,15
10/24/2024 0:00,26
10/25/2024 0:00,60
10/26/2024 0:00,32
10/27/2024 0:00,205
10/28/2024 0:00,15
10/29/2024 0:00,51
10/30/2024 0:00,42
10/31/2024 0:00,42
11/1/2024 0:00,162
11/2/2024 0:00,240
11/3/2024 0:00,115
11/4/2024 0:00,30
11/5/2024 0:00,46
11/6/2024 0:00,125
11/7/2024 0:00,43
11/8/2024 0:00,97
11/9/2024 0:00,213
11/10/2024 0:00,210
11/11/2024 0:00,159
11/12/2024 0:00,31
11/13/2024 0:00,70
11/14/2024 0:00,73
11/15/2024 0:00,37
11/16/2024 0:00,223
11/17/2024 0:00,131
11/18/2024 0:00,112
11/19/2024 0:00,21
11/20/2024 0:00,46
11/21/2024 0:00,29
11/22/2024 0:00,37
11/23/2024 0:00,76
11/24/2024 0:00,29
11/25/2024 0:00,72
11/26/2024 0:00,15
11/27/2024 0:00,3
11/28/2024 0:00,0
11/29/2024 0:00,17
11/30/2024 0:00,160
12/1/2024 0:00,116
12/2/2024 0:00,31
12/3/2024 0:00,48
12/4/2024 0:00,26
12/5/2024 0:00,5
12/6/2024 0:00,12
12/7/2024 0:00,112
12/8/2024 0:00,25
12/9/2024 0:00,36
12/10/2024 0:00,52
12/11/2024 0:00,5
12/12/2024 0:00,112
12/13/2024 0:00,153
12/14/2024 0:00,29
12/15/2024 0:00,64
12/16/2024 0:00,33
12/17/2024 0:00,16
12/18/2024 0:00,13
12/19/2024 0:00,33
12/20/2024 0:00,12
12/21/2024 0:00,36
12/22/2024 0:00,14
12/23/2024 0:00,5
12/24/2024 0:00,2
12/25/2024 0:00,0
12/26/2024 0:00,176
12/27/2024 0:00,29
12/28/2024 0:00,106
12/29/2024 0:00,10
12/30/2024 0:00,18
12/31/2024 0:00,30
1/1/2025 0:00,31
1/2/2025 0:00,104
1/3/2025 0:00,52
1/4/2025 0:00,118
1/5/2025 0:00,90
1/6/2025 0:00,61
1/7/2025 0:00,27
1/8/2025 0:00,39
1/9/2025 0:00,103
1/10/2025 0:00,95
1/11/2025 0:00,125
1/12/2025 0:00,160
1/13/2025 0:00,46
1/14/2025 0:00,37
1/15/2025 0:00,34
1/16/2025 0:00,20
1/17/2025 0:00,100
1/18/2025 0:00,139
1/19/2025 0:00,67
1/20/2025 0:00,38
1/21/2025 0:00,14
1/22/2025 0:00,6
1/23/2025 0:00,133
1/24/2025 0:00,22
1/25/2025 0:00,6
1/26/2025 0:00,12
1/27/2025 0:00,58
1/28/2025 0:00,153
1/29/2025 0:00,143
1/30/2025 0:00,71
1/31/2025 0:00,2
2/1/2025 0:00,16
2/2/2025 0:00,2
2/3/2025 0:00,0
2/4/2025 0:00,9
2/5/2025 0:00,152
2/6/2025 0:00,1
2/7/2025 0:00,0
2/8/2025 0:00,5
2/9/2025 0:00,1
2/10/2025 0:00,63
2/11/2025 0:00,39
2/12/2025 0:00,1
2/13/2025 0:00,0
2/14/2025 0:00,2
2/15/2025 0:00,9
2/16/2025 0:00,10
2/17/2025 0:00,17
2/18/2025 0:00,68
2/19/2025 0:00,2
2/20/2025 0:00,271
2/21/2025 0:00,39
2/22/2025 0:00,17
2/23/2025 0:00,30
2/24/2025 0:00,3
2/25/2025 0:00,1
2/26/2025 0:00,1
2/27/2025 0:00,7
2/28/2025 0:00,120
3/1/2025 0:00,5
3/2/2025 0:00,43
3/3/2025 0:00,245
3/4/2025 0:00,478
3/5/2025 0:00,7
3/6/2025 0:00,29
3/7/2025 0:00,48
3/8/2025 0:00,190
3/9/2025 0:00,47
3/10/2025 0:00,767
3/11/2025 0:00,0
3/12/2025 0:00,84
3/13/2025 0:00,0
3/14/2025 0:00,0
3/15/2025 0:00,284
3/16/2025 0:00,195
3/17/2025 0:00,341
3/18/2025 0:00,14
3/19/2025 0:00,4
3/20/2025 0:00,16
3/21/2025 0:00,256
3/22/2025 0:00,268
3/23/2025 0:00,447
3/24/2025 0:00,15
3/25/2025 0:00,0
3/26/2025 0:00,0
3/27/2025 0:00,47
3/28/2025 0:00,447
3/29/2025 0:00,76
3/30/2025 0:00,229
3/31/2025 0:00,1
4/1/2025 0:00,6
4/2/2025 0:00,434
4/3/2025 0:00,199
4/4/2025 0:00,708
4/5/2025 0:00,123
4/6/2025 0:00,279
4/7/2025 0:00,8
4/8/2025 0:00,12
4/9/2025 0:00,16
4/10/2025 0:00,2
4/11/2025 0:00,2
4/12/2025 0:00,8
4/13/2025 0:00,458
4/14/2025 0:00,583
4/15/2025 0:00,211
4/16/2025 0:00,17
4/17/2025 0:00,603
4/18/2025 0:00,14
4/19/2025 0:00,21
4/20/2025 0:00,7
4/21/2025 0:00,18
4/22/2025 0:00,4
